NAMELSAD,"Overall Disadvantaged (0 = no, 1 = yes)",Total Disadvantaged Score,"Transportation Disadvantaged (0 = no, 1 = yes)","Health Disadvantaged (0 = no, 1 = yes)","Environmental Disadvantaged (0 = no, 1 = yes)","Economic Disadvantaged (0 = no, 1 = yes)","Resilience Disadvantaged (0 = no, 1 = yes)","Equity Disadvantaged (0 = no, 1 = yes)"
Census Tract 42.01,0,0,0,0,0,0,0,0
Census Tract 42.02,0,0,0,0,0,0,0,0
Census Tract 43.02,0,0,0,0,0,0,0,0
Census Tract 43.03,0,1,0,0,0,0,1,0
Census Tract 43.06,0,2,0,1,0,0,1,0
Census Tract 43.07,0,1,1,0,0,0,0,0
Census Tract 43.08,0,2,0,0,0,0,1,1
Census Tract 43.09,0,1,0,0,0,0,0,1
Census Tract 43.10,0,0,0,0,0,0,0,0
Census Tract 44.03,1,5,1,1,1,1,0,1
Census Tract 44.04,1,5,1,1,1,1,0,1
Census Tract 44.06,0,3,1,1,0,0,1,0
Census Tract 44.07,1,4,1,0,0,1,1,1
Census Tract 45.03,1,4,1,0,1,1,0,1
Census Tract 45.04,1,5,1,1,1,1,0,1
Census Tract 45.05,1,5,1,1,1,1,0,1
Census Tract 45.06,1,5,1,1,1,1,0,1
Census Tract 46.01,1,4,1,1,1,0,0,1
Census Tract 46.02,1,4,1,0,1,1,0,1
Census Tract 46.03,1,5,1,1,1,1,0,1
Census Tract 47,1,5,1,1,1,1,0,1
Census Tract 48.01,0,3,0,1,1,0,0,1
Census Tract 50.01,0,3,0,1,1,0,0,1
Census Tract 50.03,1,4,1,1,1,1,0,0
Census Tract 50.04,1,5,1,1,1,1,0,1
Census Tract 51.02,0,1,0,1,0,0,0,0
Census Tract 51.04,1,6,1,1,1,1,1,1
Census Tract 52,0,1,0,0,0,0,0,1
Census Tract 53,1,5,1,1,1,1,0,1
Census Tract 55.02,0,3,0,1,1,1,0,0
Census Tract 55.03,0,2,1,1,0,0,0,0
Census Tract 67.01,0,0,0,0,0,0,0,0
Census Tract 68.04,0,2,0,1,0,0,1,0
Census Tract 68.10,0,3,0,1,1,1,0,0
Census Tract 68.12,0,2,0,1,0,0,0,1
Census Tract 68.13,1,5,1,1,1,1,0,1
Census Tract 68.14,1,5,1,1,1,1,0,1
Census Tract 68.15,0,0,0,0,0,0,0,0
Census Tract 68.16,0,2,0,1,0,1,0,0
Census Tract 68.17,0,1,0,1,0,0,0,0
Census Tract 68.18,1,4,1,1,0,1,0,1
Census Tract 69.02,1,4,1,1,1,1,0,0
Census Tract 69.03,1,4,0,1,1,1,0,1
Census Tract 70.06,1,5,1,1,1,1,0,1
Census Tract 70.13,0,1,0,1,0,0,0,0
Census Tract 70.37,1,5,1,1,1,1,0,1
Census Tract 70.88,1,5,1,1,1,1,0,1
Census Tract 70.90,1,4,0,1,1,1,0,1
Census Tract 70.91,1,4,1,1,0,1,0,1
Census Tract 83.04,1,5,1,1,1,1,0,1
Census Tract 83.05,1,5,1,1,1,1,0,1
Census Tract 83.06,1,5,1,1,1,1,0,1
Census Tract 83.12,1,6,1,1,1,1,1,1
Census Tract 83.86,1,4,0,1,1,1,0,1
Census Tract 83.87,0,2,0,0,1,0,0,1
Census Tract 83.88,1,4,0,0,1,1,1,1
Census Tract 83.89,1,4,1,1,0,0,1,1
Census Tract 83.90,1,4,1,1,0,0,1,1
Census Tract 83.91,0,2,1,0,0,0,0,1
Census Tract 9800.01,0,1,0,0,0,0,1,0
Census Tract 9801,0,1,0,0,0,0,1,0
Census Tract 9802,0,1,0,0,0,0,1,0
