NAMELSAD,"Overall Disadvantaged (0 = no, 1 = yes)",Total Disadvantaged Score,Stops Per 1000 People,Stops Percentile Score,>30 Min Commute Percent,Commute Percentile Score,Percentage of occupied housing units with no vehicles available,No Vehicle Percentile Score,Percentage of the population 65 years and older,Age Percentile Score,Percentage of the population without health insurance coverage,Insurance Percentile Score,Percentage of the population with a disability,Disability Percentile Score,% Of Homes Built Before 1960 (Lead Paint),Lead Paint Percentile Score,EJ Index for Diesel Particulate Matter (2017),Diesel Particulate Matter Percentile Score,EJ Index for 2017 Air Toxics Cancer Risk,Air Toxic Cancer Percentile Score,EJ Index for Traffic Proximity,Traffic Proximity Percentile Score,EJ Index for Particulate Matter 2.5,Particulate Matter 2.5 Percentile Score,EJ Index for Ozone,Ozone Level Percentile Score,Percentage of population over age 25 without a high school diploma (including GED),High School Education Percentile Score,Percentage of Occupied Housing Units not by Property Owner,Renter Percentile Score,Percentage of the labor force unemployed,Unemployment Percentile Score,Gini Index of income inequality (income distribution across a population),GINI Index Percentile Score,% Low Income,Low Income Percentile Score,Percentage of Persons Below 150% Poverty Estimate (Federal Poverty Level),Federal Poverty Percentile Score,"Percentage of housing cost burdened occupied housing units with annual income less than $75,000 (30%+ of incomespent on housing costs)",Housing Burden Percentile Score,Expected Annual Loss - Score - Composite,Expected Annual Loss Percentile Score,Percentage of limited English-speaking households,Linguistic Isolation Percentile Score
Census Tract 46.02,1,4,1.670146138,0.876404494,0.523,0.904494382,8.152436083,0.511235955,6.360473208,0.196629213,20.19627365,0.926966292,4.793059309,0.117977528,0.595416277,0.617977528,55.53113814,0.91011236,54.90719276,0.870786517,44.30012143,0.898876404,41.18039457,0.820224719,38.68461308,0.960674157,30.51269288,0.926966292,52.29186155,0.5,1.848370927,0.185393258,0.4246,0.443820225,0.487,0.926966292,41.3,0.960674157,45.8,0.921348315,33.80698499,0.516853933,19.19922817,0.988764045
Census Tract 46.03,1,5,2.981613384,0.584269663,0.525,0.915730337,3.031943692,0.224719101,11.21417923,0.556179775,10.33625973,0.724719101,7.03992049,0.292134831,0.899462366,0.971910112,41.09814961,0.775280899,42.05392053,0.780898876,24.37215849,0.550561798,31.06255494,0.707865169,31.5404404,0.91011236,15.78310336,0.769662921,26.07526882,0.157303371,9.795689896,0.949438202,0.3627,0.134831461,0.332116788,0.685393258,19.7,0.58988764,37.1,0.741573034,29.80130117,0.387640449,3.302652951,0.629213483
Census Tract 47,1,5,3.232758621,0.511235955,0.444,0.780898876,6.145251397,0.43258427,17.10668103,0.837078652,13.67071525,0.808988764,10.09446694,0.573033708,0.626931567,0.662921348,39.22165456,0.752808989,43.14382001,0.786516854,29.9065116,0.691011236,30.39678228,0.679775281,33.33840637,0.926966292,19.64636542,0.808988764,31.03752759,0.207865169,2.628783856,0.342696629,0.4112,0.342696629,0.384636192,0.808988764,19.7,0.58988764,30.7,0.488764045,40.25177913,0.640449438,3.770949721,0.657303371
Census Tract 50.03,1,4,4.587155963,0.269662921,0.463,0.820224719,10.3930131,0.595505618,15.13761468,0.752808989,6.766055046,0.505617978,18.11926606,0.943820225,0.145748988,0.286516854,29.46559633,0.573033708,29.80428135,0.606741573,30.14296636,0.696629213,27.43348624,0.623595506,13.2087156,0.634831461,4.273504274,0.393258427,60,0.612359551,6.937799043,0.837078652,0.5712,0.960674157,0.282874618,0.601123596,20.7,0.623595506,50.7,0.97752809,19.71721822,0.157303371,0.786026201,0.365168539
Census Tract 50.04,1,5,3.077449137,0.561797753,0.435,0.735955056,16.42241379,0.803370787,11.19849547,0.54494382,8.266163608,0.617977528,13.75407306,0.837078652,0.018765638,0.134831461,40.58150948,0.764044944,41.04796361,0.769662921,35.91696816,0.803370787,37.78278469,0.786516854,18.19171114,0.780898876,5.135411344,0.449438202,66.93077565,0.696629213,6.89856767,0.831460674,0.415,0.382022472,0.38170293,0.786516854,28,0.792134831,44.4,0.882022472,34.32134721,0.528089888,11.68103448,0.904494382
Census Tract 51.04,1,6,3.308729957,0.488764045,0.341,0.398876404,14.1521197,0.747191011,16.03461441,0.803370787,10.1457245,0.707865169,12.29034919,0.780898876,0.33663944,0.415730337,35.98025887,0.707865169,34.04583635,0.691011236,38.30156589,0.842696629,29.7901068,0.668539326,18.57045619,0.792134831,11.63879599,0.696629213,78.76312719,0.904494382,4.578904334,0.623595506,0.4885,0.775280899,0.359923246,0.730337079,27.4,0.775280899,38.7,0.786516854,48.91020974,0.775280899,13.77805486,0.93258427
Census Tract 53,1,5,12.22351572,0.039325843,0.463,0.820224719,18.68131868,0.887640449,22.75902212,0.926966292,5.498489426,0.398876404,10.87613293,0.640449438,0.374193548,0.43258427,28.1144911,0.528089888,26.89212192,0.52247191,30.25363716,0.702247191,22.91942209,0.52247191,15.89079932,0.747191011,5.63594821,0.5,67.09677419,0.707865169,10.05076142,0.960674157,0.4524,0.573033708,0.307924985,0.629213483,13.8,0.398876404,44.9,0.904494382,26.84078258,0.325842697,3.434065934,0.634831461
Census Tract 68.13,1,5,2.706970449,0.651685393,0.365,0.533707865,11.24828532,0.640449438,14.18903677,0.713483146,12.88496377,0.775280899,15.46648551,0.91011236,0.018002572,0.117977528,28.15249267,0.533707865,30.96774194,0.634831461,29.20821114,0.657303371,26.04105572,0.58988764,17.24340176,0.775280899,14.6856986,0.752808989,76.98242606,0.859550562,4.146510021,0.578651685,0.3832,0.196629213,0.206632078,0.382022472,16.2,0.471910112,50.5,0.966292135,32.3801583,0.471910112,5.532693187,0.764044944
Census Tract 68.14,1,5,1.609657948,0.893258427,0.4,0.651685393,0.328227571,0.02247191,12.15291751,0.601123596,8.953722334,0.668539326,10.54325956,0.617977528,0.028720627,0.162921348,32.76700201,0.662921348,35.16458753,0.707865169,31.56820926,0.735955056,29.17062374,0.657303371,20.77907445,0.825842697,14.1939431,0.735955056,39.58224543,0.297752809,1.979045402,0.235955056,0.4361,0.471910112,0.324144869,0.662921348,28.4,0.803370787,34,0.617977528,34.32252155,0.533707865,8.369803063,0.825842697
Census Tract 68.18,1,4,2.701375246,0.657303371,0.27,0.101123596,14.12994094,0.741573034,25.27013752,0.949438202,5.227948464,0.382022472,10.30723489,0.606741573,0.025269263,0.140449438,14.97791682,0.162921348,15.69115096,0.185393258,15.15622536,0.337078652,13.01652295,0.191011236,9.628660815,0.460674157,0.844136268,0.140449438,68.47555924,0.741573034,3.79644588,0.52247191,0.4437,0.516853933,0.198463826,0.365168539,15.4,0.449438202,38.4,0.769662921,33.00373441,0.494382022,4.225352113,0.685393258
Census Tract 69.02,1,4,3.117913832,0.533707865,0.39,0.623595506,14.44067797,0.752808989,17.60204082,0.842696629,17.73550169,0.893258427,19.94476833,0.949438202,0.097465887,0.269662921,25.90870915,0.494382022,25.05457589,0.483146067,27.04755351,0.612359551,21.35333172,0.47752809,14.23555448,0.685393258,6.210951856,0.533707865,76.28330084,0.853932584,7.58385999,0.898876404,0.4381,0.47752809,0.256213562,0.54494382,19.1,0.56741573,36.4,0.719101124,32.61032952,0.483146067,1.762711864,0.488764045
Census Tract 69.03,1,4,4.33582972,0.286516854,0.29,0.168539326,4.115226337,0.314606742,13.55932203,0.691011236,10.25230276,0.713483146,7.448938726,0.325842697,0.057692308,0.213483146,37.25048717,0.735955056,36.02244913,0.719101124,35.20375711,0.786516854,30.70095097,0.685393258,20.46730064,0.814606742,8.496366685,0.623595506,62.41258741,0.640449438,7.876447876,0.91011236,0.4246,0.443820225,0.400481541,0.837078652,28.9,0.820224719,42.7,0.870786517,15.29229396,0.078651685,5.967078189,0.786516854
Census Tract 70.06,1,5,1.647058824,0.882022472,0.379,0.58988764,11.28445138,0.646067416,2.517647059,0.033707865,17.27551261,0.882022472,10.88852227,0.646067416,0.069711538,0.235955056,41.46247059,0.786516854,45.04564706,0.797752809,47.09317647,0.915730337,36.85552941,0.769662921,27.12976471,0.887640449,22.74381368,0.842696629,100,0.994382022,4.46459714,0.606741573,0.3266,0.028089888,0.418588235,0.859550562,25,0.719101124,53.9,0.988764045,17.20177561,0.117977528,17.52470099,0.971910112
Census Tract 70.37,1,5,1.938401895,0.820224719,0.525,0.915730337,10.88939567,0.617977528,4.802929141,0.106741573,15.07645919,0.853932584,11.58733577,0.719101124,0.02653486,0.151685393,48.96209347,0.831460674,55.23928495,0.882022472,50.84525092,0.926966292,51.47297006,0.915730337,22.5978893,0.848314607,15.5604954,0.764044944,79.44849116,0.915730337,7.228490832,0.865168539,0.4564,0.601123596,0.539737239,0.95505618,25.6,0.730337079,45.3,0.915730337,26.67050285,0.320224719,13.39794755,0.926966292
Census Tract 70.88,1,5,1.7208413,0.865168539,0.414,0.691011236,13.93684211,0.724719101,15.8126195,0.780898876,19.76153245,0.91011236,12.00156372,0.741573034,0.015067407,0.106741573,35.4523582,0.696629213,39.49123445,0.741573034,38.5937064,0.848314607,36.79865029,0.764044944,16.60426903,0.769662921,5.587170202,0.494382022,76.20935765,0.848314607,5.129053607,0.696629213,0.3885,0.224719101,0.410721172,0.848314607,20.6,0.617977528,53.9,0.988764045,34.52450854,0.54494382,3.452631579,0.640449438
